,sample-1,sample-2,sample-3,sample-4,sample-5,sample-6,sample-7,sample-8,sample-9,sample-10,sample-11,sample-12,sample-13,sample-14,sample-15,sample-16,sample-17,sample-18,sample-19,sample-20,sample-21,sample-22,sample-23,sample-24,sample-25,sample-26,sample-27,sample-28,sample-29,sample-30,sample-31,sample-32,sample-33,sample-34,sample-35,sample-36,sample-37,sample-38,sample-39,sample-40,sample-41,sample-42,sample-43,sample-44
sample-11,0.31288238816721475,0.18249555067534678,0.20845056104592025,0.1814656221977617,0.1908611637193368,0.1713956629671693,0.1397619669768607,0.20464024917036433,0.2284552105814901,0.2637565310610559,0.0,0.1329104213529092,0.239345749530698,0.24687740912482717,0.3150952659078423,0.30275082725209135,0.28632442304636907,0.24170702602442784,0.2534363556247855,0.2805981885969172,0.1726478747461248,0.2150469744517423,0.27897080115764394,0.24318713533234693,0.2261770520206544,0.20812140677952504,0.3910817344042671,0.3525510059810778,0.2488972166791089,0.29540787996585205,0.18197419256411304,0.21767976681063894,0.23343162710742307,0.3083620184788565,0.29522323830063296,0.24528089311306517,0.3276910763411008,0.166129856500756,0.24096273262780288,0.23691256261771643,0.23959633144575931,0.19208531551067934,0.19535901791646,0.1908789789974643
sample-12,0.3313386192271427,0.21566360007142707,0.22655591587583324,0.19763303521427972,0.24443511786499336,0.20845666867946427,0.17241897162376194,0.20401898729762358,0.26362801768481564,0.25668602664668294,0.1329104213529092,0.0,0.2933846969929575,0.291081295877468,0.33702881644943183,0.3106892777347436,0.2710909884470868,0.2286095641641006,0.2607098197978343,0.2956966298437597,0.17575750560569142,0.16704628019407214,0.28180570994612647,0.2655032057828947,0.29160871109518444,0.2753769341020514,0.34787535791471325,0.34242912025540995,0.28716954639960335,0.3136973521949775,0.21003859933321986,0.2355795256160081,0.29814109384914494,0.37265213188068774,0.2952720197210405,0.29703085091643966,0.3357453107216758,0.21883819141718514,0.2547134731617549,0.2615902718449649,0.30619783834333486,0.25584624303635733,0.20245011846447114,0.20270415986343665
sample-13,0.3681126261670994,0.26583905834352506,0.3250956846922213,0.30696531265800653,0.2570977285147884,0.20527861347167592,0.2638469796740568,0.30316537144102523,0.19459650183132673,0.2465174797220959,0.239345749530698,0.2933846969929575,0.0,0.08157121623922545,0.44321830285594954,0.43284763789106917,0.3128859013216357,0.26699433770113257,0.24690707921902766,0.2828683314264544,0.3311120719622588,0.3403853709488124,0.2872163625120733,0.29864193573977343,0.2352538527476379,0.26181204457257384,0.48391853881740904,0.4258454451258991,0.31551208464812924,0.36643285260855535,0.25404576137121626,0.26875838322240214,0.311622152592378,0.36899073953190653,0.33352495413662947,0.2085421204102016,0.4122057383387875,0.20467323148552022,0.3188826507994903,0.3185515751865937,0.19612918272999655,0.19796425952373278,0.2556675860616854,0.23814329075406232
sample-14,0.35999964577633103,0.26797667938019976,0.3265651148733405,0.30723518689041235,0.24692876308993392,0.19815912984867434,0.26648465795004295,0.2967328413087438,0.19098287258852736,0.2565531382748958,0.24687740912482717,0.291081295877468,0.08157121623922545,0.0,0.44710689804392617,0.4348769257422263,0.2946596132563639,0.26319507658280644,0.25088673705156445,0.27209354333174374,0.34333118130555407,0.33823583046518446,0.2854060050386792,0.302984616057221,0.24700001753626608,0.2721428872716579,0.460452030838535,0.39849924676718984,0.3195073185969143,0.35912703948785685,0.25083503452942046,0.26916877595775385,0.3126602107596432,0.38153412403036,0.32651365949138134,0.2230707677025089,0.4091582794920809,0.20826772873722288,0.3108043963486099,0.3090162981144087,0.18748610230088908,0.20704901682029478,0.26145882056219943,0.2400695842842461
sample-15,0.2865416156940038,0.2787790699286187,0.20948506308969123,0.257399196543184,0.2623719928447379,0.34365669886447303,0.31833157028244446,0.26261883313979195,0.40102141317343376,0.3884918776306543,0.3150952659078423,0.33702881644943183,0.44321830285594954,0.44710689804392617,0.0,0.12429539745360502,0.33665334954387754,0.3149137293961881,0.35969559432747056,0.35979059800414326,0.2765912728412597,0.3014041110212757,0.3118207684763419,0.2806010726785588,0.28247565010102876,0.2622738029975845,0.34216113652376523,0.34263493972456427,0.2530036057516373,0.25825820023241425,0.2969185196240018,0.29117429690050844,0.25504689216788007,0.27454961223725405,0.35692877520799093,0.39101199164673556,0.32514489550537995,0.3481870692906185,0.30611551288411093,0.32533717388401895,0.4099569843120072,0.3727582907133815,0.32983294502604776,0.33203877736073706
sample-16,0.2532754522462072,0.28886827559417516,0.20065593655270822,0.24721578808555422,0.27385175822216323,0.3272936090140483,0.28581617719060615,0.23276275452726697,0.3946850259546863,0.38683680471333703,0.30275082725209135,0.3106892777347436,0.43284763789106917,0.4348769257422263,0.12429539745360502,0.0,0.27067408601575194,0.29494409813868594,0.3498661610380439,0.3165848225064987,0.26554414081210514,0.2684821974458321,0.27887735056575164,0.2674030398467868,0.29713738363872266,0.2918878796814422,0.2677169931016368,0.32051546486607296,0.2818060405183684,0.2549448668687754,0.26950151365127295,0.24258336563260885,0.27535544384177646,0.34350661961909323,0.35745245168629464,0.3812617711085176,0.28411369954471993,0.3386776935290356,0.28831058873002113,0.3071952207245447,0.40373874442900265,0.3638653382826104,0.3154574451194694,0.314738294908784
sample-17,0.2577428826751294,0.26232506422538565,0.23255568602745033,0.25480094766415284,0.22537865786264116,0.23293693897528367,0.306922970068964,0.24111961328761028,0.21565224668578595,0.24236883227447098,0.28632442304636907,0.2710909884470868,0.3128859013216357,0.2946596132563639,0.33665334954387754,0.27067408601575194,0.0,0.13972511766619244,0.22124841942758403,0.16273311256393247,0.3258438672914228,0.23783931100493605,0.19422817843656756,0.2404784604260805,0.2991044899086143,0.3260432938108373,0.2499311032371021,0.27658404975710194,0.26537899015117616,0.2401492264730501,0.18999988859065198,0.14271924188302987,0.3445613133160469,0.4278406052676045,0.28624961847019237,0.30516358598690607,0.26905586801305564,0.3056980391316115,0.21306340699879747,0.22755692408865627,0.3058499045529489,0.2995165726949186,0.27547569276866557,0.264003588328488
sample-18,0.22299372987154828,0.22133072297219775,0.2250631311251835,0.22245851769926275,0.20183248385792896,0.20347177708993996,0.2582679220417192,0.19443219242995247,0.22351086573596826,0.20448874782394855,0.24170702602442784,0.2286095641641006,0.26699433770113257,0.26319507658280644,0.3149137293961881,0.29494409813868594,0.13972511766619244,0.0,0.21095267024455774,0.1793170420278866,0.2872227823035596,0.25057042646228606,0.1897569600437948,0.20161842144025743,0.2903448886168885,0.2808603657888873,0.30853963711448884,0.3294211008561482,0.23035420112078153,0.19480217368134983,0.13686112607720136,0.1247575970237935,0.29781731095378405,0.3812580511357263,0.2364373363614589,0.2797723802974718,0.23379989795245004,0.23506375997260037,0.23998728056894056,0.25898375294591003,0.25843848226516075,0.24458805297851524,0.25026923730249506,0.22103254732421013
sample-19,0.28904422197036495,0.2280967219133329,0.24295710255650327,0.2411300430438812,0.21867557613684246,0.2013883643696531,0.28941827893664407,0.2597849723521564,0.20726981165402855,0.22938332856268182,0.2534363556247855,0.2607098197978343,0.24690707921902766,0.25088673705156445,0.35969559432747056,0.3498661610380439,0.22124841942758403,0.21095267024455774,0.0,0.14409317026633503,0.3186581497242484,0.27339325674841963,0.24119894164160047,0.27213199057923354,0.2511421485050982,0.28346527492518886,0.39442065993307324,0.35884175432365595,0.25252311708762515,0.2792486586733685,0.22214146023161993,0.22432464176650582,0.3369963031576092,0.4013697464643743,0.2532307374268334,0.2037989918590313,0.35206458731015394,0.26624435203676083,0.2649909755625228,0.2896459964799571,0.2690387214359209,0.2544321518478718,0.25789889698243906,0.2430060851010537
sample-20,0.22606369632643725,0.2665229788054345,0.28666555985167297,0.2759133549084586,0.2551648584670627,0.2397039664263182,0.3242157202722877,0.24828607339985703,0.24414511545020146,0.27000306161238186,0.2805981885969172,0.2956966298437597,0.2828683314264544,0.27209354333174374,0.35979059800414326,0.3165848225064987,0.16273311256393247,0.1793170420278866,0.14409317026633503,0.0,0.3428858426237728,0.30076408286559886,0.18729883373243883,0.23988706669480608,0.29725747233109256,0.3130448979929871,0.30082890345684665,0.30719904935521103,0.2747557160010513,0.24045476008006994,0.2088473118301594,0.1756046847349294,0.3742494138301534,0.43834703081312454,0.2735292710276776,0.2819365474329579,0.2730351056598489,0.2853314431656936,0.2504294210850756,0.2793421345701213,0.29528016013900704,0.2835644374111606,0.29379816516415824,0.28179037907030635
sample-21,0.3074746938801704,0.22048011770264192,0.18457292846268938,0.1382493985816315,0.2237923306160267,0.23533634229363942,0.17567029856671423,0.21305905936873615,0.3061899497599968,0.2724232961800943,0.1726478747461248,0.17575750560569142,0.3311120719622588,0.34333118130555407,0.2765912728412597,0.26554414081210514,0.3258438672914228,0.2872227823035596,0.3186581497242484,0.3428858426237728,0.0,0.15686782453082976,0.2718598619822967,0.2280848046950827,0.24968795491575424,0.24106508464706228,0.35084604937556824,0.3542009377716796,0.21671138525223707,0.26659610838307607,0.23319003746081363,0.2546511180817475,0.23249300171463166,0.28882230805095577,0.31027831867671085,0.3240541528696097,0.3329892721930821,0.23742149983086414,0.2180198042124983,0.23822586322418143,0.29709464777697653,0.23986118149437272,0.19074803253526534,0.21442974942691892
sample-22,0.34194196102968194,0.2600827859970444,0.20355432696251513,0.19453831070530767,0.27414931921829455,0.25374070055997555,0.22434439580283294,0.21283739265727153,0.27851716599169757,0.2817575138038764,0.2150469744517423,0.16704628019407214,0.3403853709488124,0.33823583046518446,0.3014041110212757,0.2684821974458321,0.23783931100493605,0.25057042646228606,0.27339325674841963,0.30076408286559886,0.15686782453082976,0.0,0.28486703719008893,0.29934591098759933,0.2965374031904997,0.3086764626567926,0.23628427783578246,0.2394491866400481,0.2792346028850443,0.30092041608340786,0.22155126222327165,0.24395005680111825,0.2956367076038474,0.39766824284939184,0.3363128910833434,0.3346794045310448,0.33919767334344175,0.2590595390482453,0.16622749556476066,0.17822199637180125,0.32302119564088927,0.3066664176331701,0.232379083683391,0.24050572059510994
sample-23,0.1844859126956183,0.22647970286251107,0.23632967798955873,0.22327587248935626,0.2067334800442821,0.2480936396162942,0.27551635318130707,0.20461307855317726,0.2930046791390283,0.2560982475355289,0.27897080115764394,0.28180570994612647,0.2872163625120733,0.2854060050386792,0.3118207684763419,0.27887735056575164,0.19422817843656756,0.1897569600437948,0.24119894164160047,0.18729883373243883,0.2718598619822967,0.28486703719008893,0.0,0.11238321042893906,0.2746545516025646,0.28815297859120564,0.3267913062900135,0.35849838268463796,0.2134696064707287,0.1797867508200985,0.17909659940071398,0.13239345154695073,0.30117642732503586,0.36328977766381415,0.23548067081718177,0.3112385066321141,0.20785353636903298,0.2745646766972645,0.24715781234650352,0.284353732725148,0.3211234067224142,0.2978041182989299,0.24354458699928078,0.23494003907692163
sample-24,0.1926512314244716,0.19491377925216707,0.1898340276466317,0.18302697815639807,0.1809117378913004,0.25293065171304197,0.24364813858679996,0.2130344520073011,0.31202704673924364,0.259630342398419,0.24318713533234693,0.2655032057828947,0.29864193573977343,0.302984616057221,0.2806010726785588,0.2674030398467868,0.2404784604260805,0.20161842144025743,0.27213199057923354,0.23988706669480608,0.2280848046950827,0.29934591098759933,0.11238321042893906,0.0,0.25060533728157036,0.23575843526001294,0.3693937610860477,0.3822255289583075,0.19409699949360418,0.18204037934728037,0.18228427825692944,0.16405704180896413,0.26758018705156167,0.30355341745004394,0.22969314412585493,0.30629163210919796,0.22089060381533532,0.28252117023679924,0.2704372544313107,0.3035117045119056,0.3189031139074717,0.26796696340814746,0.2383777359948187,0.22413387512152294
sample-25,0.2716820075540966,0.16753702884688448,0.20397829348976387,0.21409275399418093,0.15704690988337647,0.18246969498036297,0.20987844403910583,0.25865975562075094,0.21518948628235401,0.2218022803411986,0.2261770520206544,0.29160871109518444,0.2352538527476379,0.24700001753626608,0.28247565010102876,0.29713738363872266,0.2991044899086143,0.2903448886168885,0.2511421485050982,0.29725747233109256,0.24968795491575424,0.2965374031904997,0.2746545516025646,0.25060533728157036,0.0,0.10167084643231995,0.4444234047750264,0.3877804168575229,0.19460002729063203,0.2686909896718097,0.2472615359071823,0.2494945796051815,0.17788514442009556,0.2493514426229319,0.2857149927910255,0.21218415443624405,0.36567671923310796,0.2543613186306277,0.2676434126259466,0.2704987281122773,0.26448626086554566,0.22834955588065925,0.17787492696689583,0.20515870560127625
sample-26,0.2966652989002172,0.17930913456652886,0.21037884531292983,0.22324577819387187,0.17953647159936,0.2123468177275439,0.22065492195583783,0.27840863599783056,0.26142304134839206,0.24857444528373074,0.20812140677952504,0.2753769341020514,0.26181204457257384,0.2721428872716579,0.2622738029975845,0.2918878796814422,0.3260432938108373,0.2808603657888873,0.28346527492518886,0.3130448979929871,0.24106508464706228,0.3086764626567926,0.28815297859120564,0.23575843526001294,0.10167084643231995,0.0,0.46079931423117504,0.41888605035141674,0.19814707994874942,0.2865818752985716,0.24305268541869243,0.24376666295111993,0.1494799397197533,0.21102101867267478,0.2856417121003782,0.24421817865761572,0.3604874697312878,0.23465145328882658,0.2982475626347408,0.304680278805208,0.27129318101858185,0.21667142201153583,0.20227384998933254,0.21024343069216253
sample-27,0.3243248130675825,0.40912968395033406,0.3403270560716104,0.3555009701132255,0.38834948221715204,0.40912573878379566,0.38424706957246224,0.2955478583336238,0.40294103712414553,0.4323535855571333,0.3910817344042671,0.34787535791471325,0.48391853881740904,0.460452030838535,0.34216113652376523,0.2677169931016368,0.2499311032371021,0.30853963711448884,0.39442065993307324,0.30082890345684665,0.35084604937556824,0.23628427783578246,0.3267913062900135,0.3693937610860477,0.4444234047750264,0.46079931423117504,0.0,0.15325009871634807,0.39380275171781054,0.32541096298624406,0.31367803824421236,0.2969761508412429,0.4449742056635808,0.5311229213130315,0.4314082946694586,0.4773291527053367,0.33278000703693345,0.41468192327178055,0.24402583489958865,0.24353277024277442,0.47420720171368347,0.46167583231490494,0.3904162121867525,0.3872490710525671
sample-28,0.37166327092801393,0.37788916948562234,0.3261262261684904,0.36028698103844076,0.35167011570402223,0.3568822858696481,0.3711444856180586,0.28255496245268946,0.35368083465159295,0.4131487766664471,0.3525510059810778,0.34242912025540995,0.4258454451258991,0.39849924676718984,0.34263493972456427,0.32051546486607296,0.27658404975710194,0.3294211008561482,0.35884175432365595,0.30719904935521103,0.3542009377716796,0.2394491866400481,0.35849838268463796,0.3822255289583075,0.3877804168575229,0.41888605035141674,0.15325009871634807,0.0,0.3696941746490326,0.352438581830702,0.31311237539035097,0.3330453356515487,0.4107532176184089,0.5148562021719354,0.40082912903389434,0.4437874183925137,0.38854623625283696,0.3727314109817036,0.21074868685589815,0.206378616048559,0.4201957683074013,0.4043154911371004,0.3562246311881519,0.3538049176140549
sample-29,0.22360180859181253,0.16528351597782648,0.17015549828898074,0.18395586422706173,0.13334442956916553,0.22716400416501042,0.25124677366961023,0.2496936022346122,0.29487376829850226,0.24850479585654828,0.2488972166791089,0.28716954639960335,0.31551208464812924,0.3195073185969143,0.2530036057516373,0.2818060405183684,0.26537899015117616,0.23035420112078153,0.25252311708762515,0.2747557160010513,0.21671138525223707,0.2792346028850443,0.2134696064707287,0.19409699949360418,0.19460002729063203,0.19814707994874942,0.39380275171781054,0.3696941746490326,0.0,0.14543960354979746,0.2290173605981698,0.20636739152614053,0.20880636374358366,0.25406673790925893,0.21913006025928852,0.2954892747481442,0.2942442684136305,0.2782849011269426,0.24372122062599128,0.2740486672177232,0.30977611845478953,0.2498547565986245,0.2230926482381809,0.22282636005865614
